status,provincia,cidade,bairro,Completas,Nao conseguimos,Rejected,Sim visitar,Approved,sampled
APPROVED,Maputo Provincia,Boane,Xinonaquila,1,1,0,0,2,2
APPROVED,Maputo Provincia,Kathembe,Chamissava,1,0,0,0,1,1
APPROVED,Maputo Provincia,Manhiça,Abel Jafar,1,0,0,0,1,1
APPROVED,Maputo Provincia,Manhiça,Bobole,5,3,0,0,8,8
APPROVED,Maputo Provincia,Manhiça,Cumbeza,1,1,0,0,2,2
APPROVED,Maputo Provincia,Manhiça,Guava,9,3,0,0,12,12
APPROVED,Maputo Provincia,Manhiça,Kubeza,0,1,0,0,1,1
APPROVED,Maputo Provincia,Manhiça,Marracuene,4,3,0,0,7,7
APPROVED,Maputo Provincia,Manhiça,Memo 1,0,1,0,0,1,1
APPROVED,Maputo Provincia,Manhiça,Michafutene,0,1,0,0,1,1
APPROVED,Maputo Provincia,Manhiça,Pateque,1,0,0,0,1,1
APPROVED,Maputo Provincia,Marracuene,29 De Setembro,1,0,0,0,1,1
APPROVED,Maputo Provincia,Marracuene,Agostinho Neto,2,0,0,0,2,2
APPROVED,Maputo Provincia,Marracuene,Bobole,2,1,0,0,3,3
APPROVED,Maputo Provincia,Marracuene,Magawanine,1,0,0,0,1,1
APPROVED,Maputo Provincia,Marracuene,Mateque,1,0,0,0,1,1
APPROVED,Maputo Provincia,Marracuene,Pustuluane,0,1,0,0,1,1
APPROVED,Maputo Provincia,Marracuene,Samora Machel,1,1,0,0,2,2
APPROVED,Maputo Provincia,Marracuene,Santa Isabel,0,1,0,0,1,1
APPROVED,Maputo Provincia,Marracuene,Zitava,0,1,0,0,1,1
APPROVED,Maputo Provincia,Matola,1º Maio,1,3,0,0,4,4
APPROVED,Maputo Provincia,Matola,Bairro 13,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matola,Bairro F,0,1,0,0,1,1
APPROVED,Maputo Provincia,Matola,Boquisso,8,3,0,0,11,11
APPROVED,Maputo Provincia,Matola,Bunhissa,5,0,0,0,5,5
APPROVED,Maputo Provincia,Matola,Cikuama,1,1,0,0,2,2
APPROVED,Maputo Provincia,Matola,Congolote,7,6,0,0,13,13
APPROVED,Maputo Provincia,Matola,Fomento,2,2,0,0,4,4
APPROVED,Maputo Provincia,Matola,Golhoza,3,0,0,0,3,3
APPROVED,Maputo Provincia,Matola,Infulene,8,1,0,0,9,9
APPROVED,Maputo Provincia,Matola,Intaka,8,4,0,0,12,12
APPROVED,Maputo Provincia,Matola,Jonate,0,1,0,0,1,1
APPROVED,Maputo Provincia,Matola,Khobe,4,1,0,0,5,5
APPROVED,Maputo Provincia,Matola,Liberdade,14,2,0,0,16,16
APPROVED,Maputo Provincia,Matola,Machava,11,3,0,0,14,14
APPROVED,Maputo Provincia,Matola,Malhampsane,3,1,0,0,4,4
APPROVED,Maputo Provincia,Matola,Mali,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matola,Manjave,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matola,Matibwana,2,1,0,0,3,3
APPROVED,Maputo Provincia,Matola,Matlhemele,4,1,0,0,5,5
APPROVED,Maputo Provincia,Matola,Matola A,7,3,0,0,10,10
APPROVED,Maputo Provincia,Matola,Matola B,0,1,0,0,1,1
APPROVED,Maputo Provincia,Matola,Matola C,3,2,0,0,5,5
APPROVED,Maputo Provincia,Matola,Matola D,2,0,0,0,2,2
APPROVED,Maputo Provincia,Matola,Matola F,3,1,0,0,4,4
APPROVED,Maputo Provincia,Matola,Matola Gare,7,2,0,0,9,9
APPROVED,Maputo Provincia,Matola,Matola H,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matola,Matola J,2,0,0,0,2,2
APPROVED,Maputo Provincia,Matola,Matola Rio,1,2,0,0,3,3
APPROVED,Maputo Provincia,Matola,Mavoco,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matola,Mozal,3,1,0,0,4,4
APPROVED,Maputo Provincia,Matola,Mucatine,2,0,0,0,2,2
APPROVED,Maputo Provincia,Matola,Muhalaze,10,6,0,0,16,16
APPROVED,Maputo Provincia,Matola,Mulotana,0,1,0,0,1,1
APPROVED,Maputo Provincia,Matola,Mussumbuluko,2,1,0,0,3,3
APPROVED,Maputo Provincia,Matola,Ndlavela,7,2,0,0,9,9
APPROVED,Maputo Provincia,Matola,Patrice Lumumba,6,1,0,0,7,7
APPROVED,Maputo Provincia,Matola,Santa Isabel,3,1,0,0,4,4
APPROVED,Maputo Provincia,Matola,Sao Damanso,1,2,0,0,3,3
APPROVED,Maputo Provincia,Matola,Sem Bairro,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matola,Sidwava,2,0,0,0,2,2
APPROVED,Maputo Provincia,Matola,T-3,3,1,0,0,4,4
APPROVED,Maputo Provincia,Matola,Tchumene 2,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matola,Tenga,2,1,0,0,3,3
APPROVED,Maputo Provincia,Matola,Trevo,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matola,Tsalala,6,2,0,0,8,8
APPROVED,Maputo Provincia,Matola,Unidade D,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matola,Unidade H,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matola,Xiboene,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matola,Zilinga,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matola,Zona Verde,7,2,0,0,9,9
APPROVED,Maputo Provincia,Matutuine,Bairo B,0,1,0,0,1,1
APPROVED,Maputo Provincia,Matutuine,Bela Vista,14,1,0,0,15,15
APPROVED,Maputo Provincia,Matutuine,Goboza,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matutuine,Inkassane,0,1,0,0,1,1
APPROVED,Maputo Provincia,Matutuine,Missevene,1,0,0,0,1,1
APPROVED,Maputo Provincia,Matutuine,Ponta De Ouro,3,1,0,0,4,4
APPROVED,Maputo Provincia,Matutuine,Salamanga,1,2,0,0,3,3
APPROVED,Maputo Provincia,Matutuine,Sonho Rural,15,7,0,0,22,22
APPROVED,Maputo Provincia,Namaacha,Bairo A,3,0,0,0,3,3
APPROVED,Maputo Provincia,Namaacha,Bairro 1,1,0,0,0,1,1
APPROVED,Maputo Provincia,Namaacha,Bairro B,1,0,0,0,1,1
APPROVED,Maputo Provincia,Namaacha,Fronteira,2,0,0,0,2,2
APPROVED,Maputo Provincia,Namaacha,Goba,5,0,0,0,5,5
APPROVED,Maputo Provincia,Namaacha,Mahelane,10,3,0,0,13,13
APPROVED,Maputo Provincia,Namaacha,Sonho Rural,12,4,0,0,16,16
APPROVED,Sofala,Beira,Bambu,1,0,0,0,1,1
APPROVED,Sofala,Beira,Chanhisse,1,0,0,0,1,1
APPROVED,Sofala,Beira,Chipangara 1,9,2,0,0,11,11
APPROVED,Sofala,Beira,Chipangara 2,24,5,0,0,29,29
APPROVED,Sofala,Beira,Chota,3,0,0,0,3,3
APPROVED,Sofala,Beira,Decimo Bairro,2,0,0,0,2,2
APPROVED,Sofala,Beira,Decimo Segundo Bairro,1,0,0,0,1,1
APPROVED,Sofala,Beira,Esturro,1,0,0,0,1,1
APPROVED,Sofala,Beira,Goto,1,2,0,0,3,3
APPROVED,Sofala,Beira,Inhamizua,7,0,0,0,7,7
APPROVED,Sofala,Beira,Macamilo,0,1,0,0,1,1
APPROVED,Sofala,Beira,Macurungo,11,0,0,0,11,11
APPROVED,Sofala,Beira,Malanga,7,3,0,0,10,10
APPROVED,Sofala,Beira,Manga,5,5,0,0,10,10
APPROVED,Sofala,Beira,Maraza,7,0,0,0,7,7
APPROVED,Sofala,Beira,Mascarenha,1,0,0,0,1,1
APPROVED,Sofala,Beira,Matacuane,10,1,0,0,11,11
APPROVED,Sofala,Beira,Muchatavina,1,0,0,0,1,1
APPROVED,Sofala,Beira,Munhava,35,9,0,0,44,44
APPROVED,Sofala,Beira,Pioneiros,1,0,0,0,1,1
APPROVED,Sofala,Beira,Ponta Gea,3,0,0,0,3,3
APPROVED,Sofala,Beira,Quinto Bairro,0,1,0,0,1,1
APPROVED,Sofala,Beira,Segundo Bairro,1,0,0,0,1,1
APPROVED,Sofala,Beira,Sem Bairro,2,0,0,0,2,2
APPROVED,Sofala,Beira,Sonho Rural,34,15,0,0,49,49
APPROVED,Sofala,Beira,Tanqui,0,1,0,0,1,1
APPROVED,Zambézia,Nicoadala,Chagueiva,1,0,0,0,1,1
APPROVED,Zambézia,Nicoadala,Chico,1,0,0,0,1,1
APPROVED,Zambézia,Nicoadala,Domela,1,0,0,0,1,1
APPROVED,Zambézia,Nicoadala,Magodone,2,0,0,0,2,2
APPROVED,Zambézia,Nicoadala,Munhonha,1,1,0,0,2,2
APPROVED,Zambézia,Nicoadala,Namacata 7,1,0,0,0,1,1
APPROVED,Zambézia,Nicoadala,Nhamacata Disrtito De Nicoadala,1,0,0,0,1,1
APPROVED,Zambézia,Nicoadala,Nherire,4,0,0,0,4,4
APPROVED,Zambézia,Nicoadala,Sonho Rural,27,7,0,0,34,34
APPROVED,Zambézia,Quelimane,A,0,1,0,0,1,1
APPROVED,Zambézia,Quelimane,Acordos De Lusaka,1,2,0,0,3,3
APPROVED,Zambézia,Quelimane,Amoru,0,1,0,0,1,1
APPROVED,Zambézia,Quelimane,Bazar,2,0,0,0,2,2
APPROVED,Zambézia,Quelimane,Chico,0,1,0,0,1,1
APPROVED,Zambézia,Quelimane,Coalane Segundo,1,0,0,0,1,1
APPROVED,Zambézia,Quelimane,Domela,1,0,0,0,1,1
APPROVED,Zambézia,Quelimane,Fanquene,1,0,0,0,1,1
APPROVED,Zambézia,Quelimane,Manhawa B,1,0,0,0,1,1
APPROVED,Zambézia,Quelimane,Matiazua,2,0,0,0,2,2
APPROVED,Zambézia,Quelimane,Matuazia Saguare,1,0,0,0,1,1
APPROVED,Zambézia,Quelimane,Mocuba,0,1,0,0,1,1
APPROVED,Zambézia,Quelimane,Munhambane,1,0,0,0,1,1
APPROVED,Zambézia,Quelimane,Munhambone,1,1,0,0,2,2
APPROVED,Zambézia,Quelimane,Namunho,1,0,0,0,1,1
APPROVED,Zambézia,Quelimane,Ngololo,1,1,0,0,2,2
APPROVED,Zambézia,Quelimane,Nhamakata,1,0,0,0,1,1
APPROVED,Zambézia,Quelimane,Nhambone,1,0,0,0,1,1
APPROVED,Zambézia,Quelimane,Sampene,2,0,0,0,2,2
APPROVED,Zambézia,Quelimane,Sonho Rural,11,2,0,0,13,13
APPROVED,Zambézia,Zavala,Muchelene,1,0,0,0,1,1
